,index,resourceId,fromUserId_x,categoryId,longitude,latitude,created_dates,updated_dates
0,0,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
1,1,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
2,2,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
3,3,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
4,4,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
5,5,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
6,6,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
7,7,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
8,8,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
9,9,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
10,10,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
11,11,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
12,12,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
13,13,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
14,14,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
15,15,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
16,16,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
17,17,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
18,18,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
19,19,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
20,20,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
21,21,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
22,22,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
23,23,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
24,24,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
25,25,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
26,26,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
27,27,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
28,28,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
29,29,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
30,30,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
31,31,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
32,32,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
